"ranking","country","costLivingIndex","rentIndex","costLivingPlusRentIndex","groceriesIndex","restaurantPriceIndex","localPurchasingPowerIndex"
"1","Bermuda","147.7700","85.7000","117.5400","146.6300","152.5200","78.1700"
"2","Switzerland","125.6900","51.2000","89.4100","124.9300","118.5500","114.8300"
"3","Norway","96.8000","32.6100","65.5400","89.5500","96.8100","83.4000"
"4","Iceland","90.1900","38.5400","65.0400","80.9100","97.1700","74.7800"
"5","Japan","86.2200","26.1800","56.9800","86.8400","48.0700","78.8800"
"6","Denmark","85.0200","33.1000","59.7400","65.8600","95.7100","101.2700"
"7","Luxembourg","84.3800","55.1100","70.1300","74.0300","86.2900","99.8600"
"8","Bahamas","84.2500","37.0400","61.2600","64.8900","83.2900","53.1200"
"9","Israel","82.5200","29.9600","56.9300","68.6500","86.2500","73.9400"
"10","Singapore","81.1300","61.2700","71.4600","69.2000","58","82.6100"
"11","Barbados","79.9200","20.1600","50.8200","67.5000","68.3400","49.2400"
"12","Ireland","78.0700","41.6300","60.3300","61.6300","76.6100","74.5800"
"13","Hong Kong","77.9000","75.2600","76.6200","77.4700","54.7000","67.0200"
"14","France","76.3400","25.8500","51.7500","72.3400","69.0700","76.2100"
"15","South Korea","75.9300","21.9100","49.6300","91.3500","40.4700","81.6700"
"16","Australia","75.8900","34.1800","55.5800","70.6200","68.8800","103.3800"
"17","Netherlands","74.6300","35.5900","55.6200","57.8100","76.0900","86.7600"
"18","Seychelles","74.4100","30.1100","52.8300","74.3600","75.4700","19.7700"
"19","Belgium","73.5900","24.4000","49.6300","61.7300","75.6200","80.1200"
"20","Finland","72.7100","25.8900","49.9100","59.6100","77.7500","93.9400"
"21","United States","72.4700","40.0700","56.6900","69.6800","68.2900","108.2900"
"22","Sweden","72.3100","25.8600","49.6900","63.6200","71.0300","94.0400"
"23","New Zealand","71.8300","31.7400","52.3100","66.2900","63.0500","87.2200"
"24","Austria","71.7800","26.3200","49.6400","63.6300","66.2400","79.3800"
"26","Puerto Rico","70.0200","18.8900","45.1200","71.5300","57.7400","71.1600"
"27","Malta","69.2600","30.4000","50.3400","57.9700","71.8200","44.6500"
"28","Italy","68.9500","21.4000","45.7900","58.2900","68.8000","61.8000"
"29","Qatar","67.5400","46.0100","57.0500","59.2000","63.9100","99.8200"
"30","Germany","66.3400","26.9900","47.1800","50.2900","60.5300","97.4100"
"31","Canada","66.1800","29.2800","48.2100","63.4000","59.6000","83.2200"
"32","Libya","66.0600","14.8800","41.1400","76.2500","37.6000","38.3900"
"33","United Kingdom","65.6700","28.3100","47.4800","51.1500","68.4500","86.9800"
"34","Lebanon","64.2600","23.1800","44.2500","50.7000","54.7700","35.2800"
"35","United Arab Emirates","62.9800","40.0300","51.8100","49.2600","59.1700","86.0600"
"36","Taiwan","61.9500","16.8700","40","74.5000","26.0300","61.3600"
"37","Cyprus","59.9300","20.5000","40.7300","47.0400","61.8400","56.8000"
"38","Bahrain","58.3600","29.4600","44.2900","47.9900","50.3700","56.1700"
"39","Greece","57.5000","11.8900","35.2900","43.6700","52.4200","40.7500"
"40","Trinidad and Tobago","56.6600","16.8800","37.2900","54.0800","52.5500","41.3900"
